Round,Accuracy,Loss,Reward,SplitLayer,Epsilon
1,0.8681666666666668,0.3630831573977538,0.0,35,0.9517171302557069
2,0.9363333333333334,0.1718064029271721,0.17846752243513828,25,0.9057890438555999
3,0.9503333333333334,0.1357152404012621,0.03141918186694293,43,0.8621008966608072
4,0.9510277777777777,0.13513716410660573,0.0004695438556113437,49,0.820543445547202
5,0.9506944444444444,0.13605538552217453,-0.0006958817056511073,46,0.7810127752406908
6,0.9560833333333333,0.11979477374371907,0.011497988854787684,44,0.7434100384749007
7,0.9611944444444446,0.10979623079352768,0.00659657825949006,38,0.7076412088215263
8,0.9560555555555554,0.12073803424888047,-0.006735470097987857,46,0.6736168455752829
9,0.9601944444444445,0.11154194474748685,0.005281766441328173,46,0.6412518701055556
10,0.9583333333333334,0.1131437562458904,-0.0008583895279872026,46,0.6104653531155071
